RentalID,Year,RentalPrice,Province,Town,RoomType
117,1987,309,Quebec,Matane,One bedroom units
118,1987,337,Quebec,Matane,Two bedroom units
119,1987,344,Quebec,Matane,Three bedroom units
120,1987,207,Quebec,Montmagny,Bachelor units
121,1987,230,Quebec,Montmagny,One bedroom units
122,1987,330,Quebec,Montmagny,Two bedroom units
123,1987,309,Quebec,Montmagny,Three bedroom units
124,1987,313,Quebec,Montréal,Bachelor units
125,1987,371,Quebec,Montréal,One bedroom units
126,1987,404,Quebec,Montréal,Two bedroom units
127,1987,457,Quebec,Montréal,Three bedroom units
128,1987,308,Quebec,Québec,Bachelor units
129,1987,405,Quebec,Québec,One bedroom units
130,1987,440,Quebec,Québec,Two bedroom units
131,1987,497,Quebec,Québec,Three bedroom units
132,1987,294,Quebec,Rimouski,Bachelor units
133,1987,372,Quebec,Rimouski,One bedroom units
134,1987,410,Quebec,Rimouski,Two bedroom units
135,1987,400,Quebec,Rimouski,Three bedroom units
136,1987,258,Quebec,Rivière-du-Loup,Bachelor units
137,1987,308,Quebec,Rivière-du-Loup,One bedroom units
138,1987,347,Quebec,Rivière-du-Loup,Two bedroom units
139,1987,374,Quebec,Rivière-du-Loup,Three bedroom units
140,1987,279,Quebec,Roberval,One bedroom units
141,1987,349,Quebec,Roberval,Two bedroom units
142,1987,214,Quebec,Rouyn-Noranda,Bachelor units
143,1987,290,Quebec,Rouyn-Noranda,One bedroom units
144,1987,355,Quebec,Rouyn-Noranda,Two bedroom units
145,1987,429,Quebec,Rouyn-Noranda,Three bedroom units
146,1987,246,Quebec,Saint-Georges,One bedroom units
147,1987,308,Quebec,Saint-Georges,Two bedroom units
148,1987,318,Quebec,Saint-Georges,Three bedroom units
149,1987,226,Quebec,Saint-Hyacinthe,Bachelor units
150,1987,311,Quebec,Saint-Hyacinthe,One bedroom units
151,1987,349,Quebec,Saint-Hyacinthe,Two bedroom units
152,1987,385,Quebec,Saint-Hyacinthe,Three bedroom units
153,1987,253,Quebec,Saint-Jean-sur-Richelieu,Bachelor units
154,1987,297,Quebec,Saint-Jean-sur-Richelieu,One bedroom units
155,1987,343,Quebec,Saint-Jean-sur-Richelieu,Two bedroom units
156,1987,371,Quebec,Saint-Jean-sur-Richelieu,Three bedroom units
157,1987,234,Quebec,Saint-Jérôme,Bachelor units
158,1987,308,Quebec,Saint-Jérôme,One bedroom units
159,1987,346,Quebec,Saint-Jérôme,Two bedroom units
160,1987,374,Quebec,Saint-Jérôme,Three bedroom units
161,1987,244,Quebec,Saguenay,Bachelor units
162,1987,330,Quebec,Saguenay,One bedroom units
163,1987,398,Quebec,Saguenay,Two bedroom units
164,1987,423,Quebec,Saguenay,Three bedroom units
165,1987,265,Quebec,Salaberry-de-Valleyfield,Bachelor units
166,1987,285,Quebec,Salaberry-de-Valleyfield,One bedroom units
167,1987,336,Quebec,Salaberry-de-Valleyfield,Two bedroom units
168,1987,503,Quebec,Salaberry-de-Valleyfield,Three bedroom units
169,1987,234,Quebec,Sept-Îles,Bachelor units
170,1987,319,Quebec,Sept-Îles,One bedroom units
171,1987,356,Quebec,Sept-Îles,Two bedroom units
172,1987,448,Quebec,Sept-Îles,Three bedroom units
173,1987,197,Quebec,Shawinigan,Bachelor units
174,1987,261,Quebec,Shawinigan,One bedroom units
175,1987,273,Quebec,Shawinigan,Two bedroom units
176,1987,285,Quebec,Shawinigan,Three bedroom units
177,1987,256,Quebec,Sherbrooke,Bachelor units
178,1987,311,Quebec,Sherbrooke,One bedroom units
179,1987,356,Quebec,Sherbrooke,Two bedroom units
180,1987,414,Quebec,Sherbrooke,Three bedroom units
181,1987,324,Quebec,Sorel-Tracy,One bedroom units
182,1987,304,Quebec,Sorel-Tracy,Two bedroom units
183,1987,416,Quebec,Sorel-Tracy,Three bedroom units
184,1987,237,Quebec,Thetford Mines,One bedroom units
185,1987,280,Quebec,Thetford Mines,Two bedroom units
186,1987,298,Quebec,Thetford Mines,Three bedroom units
187,1987,278,Quebec,Trois-Rivières,Bachelor units
188,1987,335,Quebec,Trois-Rivières,One bedroom units
189,1987,358,Quebec,Trois-Rivières,Two bedroom units
190,1987,376,Quebec,Trois-Rivières,Three bedroom units
191,1987,233,Quebec,Val-d'Or,Bachelor units
192,1987,343,Quebec,Val-d'Or,One bedroom units
193,1987,383,Quebec,Val-d'Or,Two bedroom units
194,1987,426,Quebec,Val-d'Or,Three bedroom units
195,1987,218,Quebec,Victoriaville,Bachelor units
196,1987,263,Quebec,Victoriaville,One bedroom units
197,1987,323,Quebec,Victoriaville,Two bedroom units
198,1987,365,Quebec,Victoriaville,Three bedroom units
199,1987,308,Ontario,Barrie,Bachelor units
200,1987,442,Ontario,Barrie,One bedroom units
201,1987,503,Ontario,Barrie,Two bedroom units
202,1987,583,Ontario,Barrie,Three bedroom units
203,1987,303,Ontario,Belleville,Bachelor units
204,1987,440,Ontario,Belleville,One bedroom units
205,1987,481,Ontario,Belleville,Two bedroom units
206,1987,535,Ontario,Belleville,Three bedroom units
207,1987,289,Ontario,Brantford,Bachelor units
208,1987,384,Ontario,Brantford,One bedroom units
209,1987,434,Ontario,Brantford,Two bedroom units
210,1987,459,Ontario,Brantford,Three bedroom units
211,1987,274,Ontario,Brockville,Bachelor units
212,1987,347,Ontario,Brockville,One bedroom units
213,1987,436,Ontario,Brockville,Two bedroom units
214,1987,415,Ontario,Brockville,Three bedroom units
215,1987,376,Ontario,Chatham-Kent,One bedroom units
216,1987,454,Ontario,Chatham-Kent,Two bedroom units
217,1987,414,Ontario,Cobourg,One bedroom units
218,1987,455,Ontario,Cobourg,Two bedroom units
219,1987,322,Ontario,Cobourg,Three bedroom units
220,1987,292,Ontario,Collingwood,Bachelor units
221,1987,395,Ontario,Collingwood,One bedroom units
222,1987,428,Ontario,Collingwood,Two bedroom units
